date,country,event,country_full_name,letter_spacing,adresse,phone,mail,web
2025-03-28,NouvelleAquitaine,"Les candidatures pour participer aux Trophées Résolution sont ouvertes jusqu'au 28 mars. Résolution, le salon sur les solutions autour de la RSE, aura lieu à Bordeaux le 10 avril au Palais des Congrés à Bordeaux. Une centaine de candidatures est attendue. Destinés à toutes les entreprises et organisations de Nouvelle-Aquitaine, deux prix seront décernés : « L’économie en mutation », pour récompenser les initiatives RSE, et « Naissance de solutions et nouveaux modèles », réservé aux structures qui innovent par leur approche.",Nouvelle-Aquitaine,0,,,," resolution-rse.fr"
2025-04-01,Bearn,"Le salon Entreprendre en Béarn revient le 1er avril. Il sera consacré à la création et à la reprise d'entreprise. Quarante spécialistes seront présents pour répondre aux questions des visiteurs, sur différents thèmes : statuts juridiques, financements, fiscalité ou financement, entre autres. Rendez-vous est donné de 14h à 17h30 à Bizanos. Entrée gratuite.",Béarn,0,"Château de Franqueville, chemin Henri IV, Bizanos",,,
